log,summary
ERROR service=thumbnail-worker host=node-12 mount=/tmp used_pct=97 fn=writeSnapshot msg=no space left on device,"node-12 ran out of disk on /tmp (97% used), breaking thumbnail-worker's writeSnapshot."
[ALERT] geo-resolver: permission denied for reporting_ro on payments during renewLease (error 42501),"Database permissions blocked geo-resolver — role reporting_ro cannot use table payments, so renewLease failed with error 42501."
ERROR service=webhook-relay host=node-10 upstream=email-dispatcher dns=NXDOMAIN,"The email-dispatcher hostname would not resolve (NXDOMAIN), blocking webhook-relay on node-10."
notify-hub exited during startup: required environment variable MAX_WORKERS is not set. acquireLock aborted with status 1.,notify-hub failed to start because the MAX_WORKERS environment variable is missing; acquireLock exited with status 1.
[ERROR] cart-service on node-01: lookup of notify-hub returned timeout,"DNS resolution of notify-hub failed with timeout, leaving cart-service on node-01 unable to connect."
Container feed-aggregator on worker-b terminated unexpectedly. Exit code 137. Process writeSnapshot exceeded the memory limit of 1024Mi.,An out-of-memory kill terminated feed-aggregator on worker-b (exit 137); the writeSnapshot process breached the 1024Mi cap.
ERROR service=backup-agent fn=decodePayload db_port=9042 code=61 msg=connection refused elapsed_ms=8587,"The database on port 9042 refused backup-agent's connection attempt in decodePayload, failing with code 61."
Client exceeded 120 requests per minute on /api/v1/search; geo-resolver is responding 429 with retry-after 5s.,Traffic to /api/v1/search passed 120 requests per minute and geo-resolver began returning 429 (retry after 5s).
"[ERROR] invoice-rollup did not complete: exit 1 after 1435s (step fetchUpstream, node-07)","On node-07, the invoice-rollup job died in step fetchUpstream after 1435s (exit 1)."
Container ledger-service on node-10 terminated unexpectedly. Exit code 137. Process openChannel exceeded the memory limit of 2048Mi.,The ledger-service container on node-10 was killed with exit code 137 after openChannel exceeded its 2048Mi memory limit.
ERROR service=report-builder fn=handleRequest tls=handshake_failed reason=certificate_expired expired_days=71,Connections to report-builder are failing because its TLS certificate expired 71 days ago; handleRequest rejects the handshake.
[ALERT] feed-aggregator: permission denied for app_writer on invoices during writeSnapshot (error 1045),Error 1045 in writeSnapshot: the app_writer role used by feed-aggregator has no access to invoices.
WARN service=feed-aggregator endpoint=/api/v1/checkout code=403 reason=token_expired expired_min=413,feed-aggregator returned 403 for /api/v1/checkout because the caller's token expired 413 minutes earlier.
WARN service=notify-hub table=products elapsed_ms=3000 fn=resolveHost msg=statement timeout,The products query issued by notify-hub timed out at 3000ms inside resolveHost.
"[ALERT] notify-hub deployment stalled: image tag v3.1.8 could not be pulled, registry answered 502","The notify-hub image pull for tag v3.1.8 failed with registry error 502, leaving the deployment in backoff."
